rr_min,stop_strategy,ma_partial,ma_full,cagr,sharpe,sortino,mdd,calmar,trades,win_rate,avg_r,profit_factor,total_ret
4.0,gradual,60,200,6.19,0.603,0.623,18.07,0.343,139,21.58,3.571,3.558,136.65
5.0,gradual,20,60,3.2,0.602,0.37,9.95,0.322,73,31.51,4.366,4.647,57.21
3.5,direct,5,60,3.64,0.602,0.505,13.17,0.276,242,26.03,1.584,1.902,66.96
5.0,direct,30,200,4.28,0.601,0.435,12.07,0.355,77,22.08,5.992,6.254,82.44
3.5,direct,10,50,3.55,0.601,0.497,11.79,0.301,237,25.32,1.664,1.893,64.81
3.0,none,10,200,7.29,0.594,0.691,24.08,0.303,259,46.33,1.917,2.159,174.32
3.5,gradual,5,10,2.54,0.592,0.424,9.27,0.274,251,43.82,1.093,1.608,43.22
3.0,none,5,200,7.18,0.591,0.692,24.25,0.296,258,48.06,1.917,2.193,170.28
4.0,direct,60,200,5.51,0.585,0.551,18.51,0.298,144,17.36,3.225,3.397,115.86
5.0,gradual,50,60,4.25,0.583,0.381,10.57,0.401,68,23.53,6.237,5.897,81.53
5.0,gradual,30,200,4.12,0.579,0.423,13.69,0.301,75,24.0,5.272,5.703,78.4
4.0,gradual,5,200,4.03,0.572,0.591,13.88,0.291,173,30.64,1.9,2.707,76.29
5.0,direct,20,60,2.92,0.571,0.337,9.95,0.294,77,25.97,3.893,4.677,51.19
5.0,direct,5,20,1.86,0.571,0.28,8.94,0.208,93,36.56,2.09,2.964,30.24
4.0,gradual,20,200,4.54,0.569,0.569,13.57,0.335,158,26.58,2.261,2.863,89.04
4.0,none,60,200,6.03,0.567,0.659,17.14,0.352,154,38.96,2.739,2.456,131.58
2.5,direct,5,10,3.75,0.567,0.608,20.57,0.182,601,38.1,0.691,1.317,69.55
3.5,none,30,200,5.85,0.565,0.668,18.19,0.322,209,34.45,2.32,1.949,126.03
4.0,direct,10,20,2.4,0.563,0.341,10.45,0.23,172,33.72,1.457,2.009,40.61
5.0,direct,10,20,1.87,0.563,0.275,9.62,0.194,90,34.44,2.242,2.969,30.4
2.5,gradual,50,200,7.31,0.56,0.665,29.51,0.248,380,24.21,1.621,1.691,174.87
3.5,direct,20,60,3.79,0.558,0.449,12.12,0.313,223,21.08,1.713,1.924,70.49
3.5,none,20,200,5.59,0.558,0.658,17.92,0.312,211,36.49,2.226,1.921,118.13
5.0,direct,50,60,3.93,0.557,0.345,10.57,0.371,72,18.06,5.619,5.674,73.75
