ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
NUE,2022-04-13,2022-04-25,150.0354,150.0354,80.4628,0.0,0.0,12,STOP,UPTREND
QLYS,2022-04-14,2022-04-26,149.9,137.908,80.8157,-969.14,-1.0,12,STOP,UPTREND
NSA,2022-04-22,2022-04-29,51.1264,47.0363,237.7508,-972.43,-1.0,7,STOP,UPTREND
RSG,2022-04-28,2022-05-19,130.611,120.1622,90.6925,-947.64,-1.0,21,STOP,UPTREND
PECO,2022-05-25,2022-06-13,30.1532,27.7409,388.3879,-936.89,-1.0,19,STOP,UPTREND
CC,2022-05-31,2022-06-13,38.1089,35.0602,308.255,-939.78,-1.0,13,STOP,UPTREND
LTC,2022-07-15,2022-07-20,31.5415,31.0117,366.5452,-194.22,-0.21,5,F3_FAIL,UPTREND
MRK,2022-07-15,2022-08-03,84.6779,77.9036,136.5339,-924.91,-1.0,19,STOP,UPTREND
CORT,2022-07-28,2022-08-04,28.97,26.6524,397.0919,-920.3,-1.0,7,STOP,UPTREND
KNTK,2022-08-10,2022-08-10,31.0167,28.5354,371.5902,-922.04,-1.0,0,STOP,UPTREND
KDP,2022-08-18,2022-09-16,36.5065,33.586,316.8799,-925.45,-1.0,29,STOP,UPTREND
LTC,2022-07-27,2022-09-22,31.6297,31.6297,361.3757,0.0,0.0,57,STOP,UPTREND
PTCT,2022-08-09,2022-09-23,52.74,48.5208,218.7689,-923.03,-1.0,45,STOP,UPTREND
AZO,2022-07-19,2022-09-28,2216.78,2169.4399,5.1829,-245.36,-0.267,71,F4_FAIL,UPTREND
RSG,2022-09-09,2022-09-29,142.5388,131.1357,80.0857,-913.23,-1.0,20,STOP,UPTREND
OVV,2022-11-07,2022-11-17,48.996,48.996,230.4816,0.0,0.0,10,STOP,UPTREND
DINO,2022-11-23,2022-12-02,56.3901,51.8789,201.8057,-910.39,-1.0,9,STOP,UPTREND
CRS,2022-12-05,2022-12-09,41.8659,38.5166,275.6677,-923.29,-1.0,4,STOP,UPTREND
HRMY,2022-12-13,2022-12-15,61.2,56.304,184.7369,-904.47,-1.0,2,STOP,UPTREND
STLD,2022-12-05,2022-12-16,102.7463,94.5266,112.3259,-923.29,-1.0,11,STOP,UPTREND
GPC,2022-11-25,2023-01-03,166.9631,153.606,68.3583,-913.07,-1.0,39,STOP,UPTREND
HRMY,2022-12-16,2023-01-09,55.47,51.0324,198.8327,-882.34,-1.0,24,STOP,UPTREND
HALO,2022-11-10,2023-01-11,50.9,50.9,217.7314,0.0,0.0,62,STOP,UPTREND
MET,2022-11-18,2023-01-12,68.7176,64.5919,163.1639,-673.18,-0.75,55,F3_FAIL,UPTREND
EPAC,2022-12-27,2023-01-18,25.3141,24.5666,437.9794,-327.37,-0.369,22,F3_FAIL,UPTREND
CMC,2023-01-09,2023-01-19,49.7691,49.7691,223.2644,0.0,0.0,10,STOP,UPTREND
CPRI,2023-01-10,2023-02-08,60.98,60.98,179.0654,0.0,0.0,29,STOP,UPTREND
BMRN,2023-01-31,2023-02-22,115.0,105.8,94.871,-872.81,-1.0,22,STOP,UPTREND
OXM,2023-03-06,2023-03-10,106.506,97.9855,103.1791,-879.14,-1.0,4,STOP,UPTREND
SGI,2023-01-12,2023-03-13,37.8714,37.8714,290.2651,0.0,0.0,60,STOP,UPTREND
PCG,2022-09-22,2023-03-14,12.9597,15.8067,848.1375,2414.64,2.746,173,F4_FAIL,UPTREND
JBL,2023-03-06,2023-03-15,84.7787,77.9964,129.622,-879.14,-1.0,9,STOP,UPTREND
OLED,2023-03-30,2023-04-14,145.0262,140.6851,73.8209,-320.47,-0.374,15,F3_FAIL,UPTREND
FIVE,2023-02-13,2023-04-21,204.22,200.59,52.885,-191.97,-0.222,67,F3_FAIL,UPTREND
ALGN,2023-04-17,2023-04-27,343.17,315.7164,31.9344,-876.71,-1.0,10,STOP,UPTREND
PANW,2023-04-03,2023-04-28,99.005,91.0846,109.9169,-870.59,-1.0,25,STOP,UPTREND
WST,2023-03-17,2023-05-24,333.1214,333.1214,31.6334,0.0,0.0,68,STOP,UPTREND
LW,2022-06-24,2023-07-27,65.1283,96.404,176.2142,5511.22,6.003,398,F3_FAIL,UPTREND
HWM,2023-05-03,2023-08-03,44.595,47.8289,243.8941,788.74,0.906,92,F3_FAIL,UPTREND
AMPH,2023-08-09,2023-08-10,64.7,59.524,188.2946,-974.61,-1.0,1,STOP,UPTREND
EXTR,2023-08-04,2023-08-16,29.5,29.5,408.1104,0.0,0.0,12,STOP,UPTREND
TTD,2023-05-01,2023-08-17,63.86,71.19,170.591,1250.43,1.435,108,F3_FAIL,UPTREND
UFPT,2023-05-02,2023-09-06,147.3,171.15,74.1325,1768.06,2.024,127,F4_FAIL,UPTREND
WHD,2023-09-01,2023-09-08,52.8937,53.7115,220.3951,180.24,0.193,7,F4_FAIL,UPTREND
ROIV,2023-09-01,2023-09-11,11.65,11.65,1000.6454,0.0,0.0,10,STOP,UPTREND
TOL,2023-04-04,2023-09-28,58.6349,72.8631,185.7962,2643.55,3.033,177,F4_FAIL,UPTREND
NE,2023-09-11,2023-10-04,45.2839,41.6612,258.1503,-935.2,-1.0,23,STOP,UPTREND
HPE,2023-10-02,2023-10-12,16.3685,15.9452,695.5396,-294.44,-0.323,10,F4_FAIL,UPTREND
GE,2023-03-03,2023-10-16,67.4183,85.8626,161.8602,2985.41,3.42,227,F4_FAIL,UPTREND
PLUS,2023-10-10,2023-10-24,65.6306,60.3801,171.4139,-900.0,-1.0,14,STOP,UPTREND
SFM,2023-09-26,2023-11-14,42.16,41.69,270.1489,-126.97,-0.139,49,F3_FAIL,UPTREND
GAP,2023-11-17,2023-11-17,15.3682,15.3682,733.7561,0.0,0.0,0,STOP,UPTREND
AEO,2023-11-16,2023-11-21,18.1954,16.7398,622.0607,-905.49,-1.0,5,STOP,UPTREND
HNI,2023-12-05,2023-12-28,37.5503,39.3384,304.4527,544.39,0.595,23,F3_FAIL,UPTREND
MLKN,2023-11-17,2023-12-29,23.1686,24.7094,486.7151,749.94,0.831,42,F3_FAIL,UPTREND
GVA,2023-12-05,2024-01-09,46.6436,47.7475,245.0988,270.55,0.296,35,F3_FAIL,UPTREND
CRVL,2023-12-07,2024-01-17,74.0333,76.45,155.0734,374.76,0.408,41,F3_FAIL,UPTREND
MOG-A,2023-10-10,2024-01-31,115.106,137.9773,97.7359,2235.34,2.484,113,F3_FAIL,UPTREND
AMR,2024-01-18,2024-02-06,382.0,351.44,31.2187,-954.04,-1.0,19,STOP,UPTREND
RCL,2024-02-01,2024-02-06,127.3224,117.1366,93.9022,-956.47,-1.0,5,STOP,UPTREND
MPWR,2024-02-08,2024-02-08,669.8011,669.8011,17.7268,0.0,0.0,0,STOP,UPTREND
DV,2024-01-19,2024-02-29,40.0,36.8,301.0594,-963.39,-1.0,41,STOP,UPTREND
WDAY,2024-01-23,2024-03-05,289.98,266.7816,42.3298,-981.98,-1.0,42,STOP,UPTREND
INTU,2024-02-09,2024-04-03,649.1149,615.0267,18.3705,-626.22,-0.656,54,F3_FAIL,UPTREND
VNT,2024-04-04,2024-04-16,44.0121,40.4911,282.2623,-993.84,-1.0,12,STOP,UPTREND
MKSI,2024-02-09,2024-04-17,113.592,113.592,104.9774,0.0,0.0,68,STOP,UPTREND
THC,2024-03-06,2024-04-17,95.71,95.71,123.8137,0.0,0.0,42,STOP,UPTREND
HUBB,2024-03-06,2024-04-19,376.7496,376.7496,31.4538,0.0,0.0,44,STOP,UPTREND
DHI,2023-12-05,2024-05-01,127.6165,139.8365,89.5832,1094.71,1.197,148,F3_FAIL,UPTREND
PHM,2023-12-05,2024-06-20,89.2609,109.2165,128.0773,2555.85,2.795,198,F4_FAIL,UPTREND
OC,2024-05-28,2024-06-24,174.8722,171.2594,66.4902,-240.21,-0.258,27,F3_FAIL,UPTREND
AMZN,2023-12-29,2024-07-18,153.1,183.75,79.9739,2451.2,2.502,202,F3_FAIL,UPTREND
RCL,2024-05-21,2024-08-01,143.5591,143.5591,81.6164,0.0,0.0,72,STOP,UPTREND
TTMI,2024-06-25,2024-08-02,19.02,19.02,609.3338,0.0,0.0,38,STOP,UPTREND
CRVL,2024-08-30,2024-09-11,106.6667,98.1333,111.4735,-951.24,-1.0,12,STOP,UPTREND
CNK,2024-09-06,2024-10-07,28.01,26.5623,422.2728,-611.36,-0.646,31,F3_FAIL,UPTREND
GE,2024-10-14,2024-10-22,190.3045,175.0801,63.2252,-962.56,-1.0,8,STOP,UPTREND
SPXC,2024-10-17,2024-10-22,173.0,159.16,70.2743,-972.6,-1.0,5,STOP,UPTREND
STRL,2024-10-11,2024-10-24,154.11,154.11,77.5733,0.0,0.0,13,STOP,UPTREND
KKR,2024-10-14,2024-11-04,135.0419,135.0419,89.0986,0.0,0.0,21,STOP,UPTREND
HLNE,2024-06-04,2024-12-10,119.5673,171.4344,97.3031,5046.84,5.422,189,F3_FAIL,UPTREND
SKYW,2024-11-05,2024-12-18,100.44,100.44,118.7006,0.0,0.0,43,STOP,UPTREND
CENX,2024-10-25,2024-12-19,17.97,17.97,660.8683,0.0,0.0,55,STOP,UPTREND
EME,2024-10-14,2024-12-30,450.9802,450.9802,26.6798,0.0,0.0,77,STOP,UPTREND
DAL,2024-10-30,2025-01-03,56.2893,56.2893,210.7469,0.0,0.0,65,STOP,UPTREND
SHAK,2025-01-03,2025-01-13,134.0,123.28,91.0929,-976.52,-1.0,10,STOP,UPTREND
NVDA,2025-01-08,2025-01-13,142.5333,131.1306,85.0608,-969.92,-1.0,5,STOP,UPTREND
SNCY,2025-01-08,2025-01-27,15.53,16.96,780.6823,1116.38,1.151,19,F3_FAIL,UPTREND
GVA,2024-10-08,2025-02-05,80.8102,87.1747,148.0385,942.18,0.984,120,F4_FAIL,UPTREND
QTWO,2024-10-24,2025-02-10,83.6,94.25,141.3942,1505.85,1.592,109,F4_FAIL,UPTREND
SNEX,2025-02-06,2025-03-04,78.0667,78.0667,152.9211,0.0,0.0,26,STOP,UPTREND
SATS,2025-02-10,2025-03-06,29.59,29.59,405.1822,0.0,0.0,24,STOP,UPTREND
CVS,2025-03-19,2025-04-07,65.3567,60.1282,182.8978,-956.29,-1.0,19,STOP,UPTREND
CB,2025-03-28,2025-04-07,298.114,274.2649,40.0782,-955.83,-1.0,10,STOP,UPTREND
TJX,2025-05-12,2025-06-09,128.7397,125.2329,90.9943,-319.1,-0.34,28,F3_FAIL,UPTREND
CRK,2025-06-09,2025-07-02,24.6,24.6,487.3603,0.0,0.0,23,STOP,UPTREND
PRDO,2025-05-29,2025-07-08,32.5641,29.959,360.9933,-940.43,-1.0,40,STOP,UPTREND
AXON,2025-05-28,2025-07-10,748.81,748.81,15.7155,0.0,0.0,43,STOP,UPTREND
NFLX,2025-05-22,2025-07-22,119.24,119.24,98.4129,0.0,0.0,61,STOP,UPTREND
PEGA,2025-06-25,2025-07-23,51.8181,51.8181,237.131,0.0,0.0,28,STOP,UPTREND
GOGO,2025-07-24,2025-08-01,16.43,15.1156,750.9303,-987.02,-1.0,8,STOP,UPTREND
CIEN,2025-08-04,2025-08-14,89.42,89.42,132.3894,0.0,0.0,10,STOP,UPTREND
DY,2025-07-07,2025-08-20,250.27,250.27,49.5917,0.0,0.0,44,STOP,UPTREND
